IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	766197000
Shares Outstanding: 1102350000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETF Database Category: Large Cap Growth Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IVV


Holding,Symbol,Weighting
"American International Group, Inc.",AIG,0.0663%
Westinghouse Air Brake Technologies Corporation,WAB,0.0661%
"Martin Marietta Materials, Inc.",MLM,0.0661%
"Prudential Financial, Inc.",PRU,0.0658%
"Datadog, Inc. Class A",DDOG,0.0652%
Kroger Co.,KR,0.0649%
Sysco Corporation,SYY,0.0635%
ResMed Inc.,RMD,0.0633%
"Consolidated Edison, Inc.",ED,0.063%
Keurig Dr Pepper Inc.,KDP,0.0627%
GE Healthcare Technologies Inc.,GEHC,0.0627%
Fair Isaac Corporation,FICO,0.0626%
Keysight Technologies Inc,KEYS,0.062%
"Ventas, Inc.",VTR,0.062%
"United Airlines Holdings, Inc.",UAL,0.0618%
"Copart, Inc.",CPRT,0.0615%
"Dell Technologies, Inc. Class C",DELL,0.0612%
"Hartford Insurance Group, Inc.",HIG,0.0608%
"Block, Inc. Class A",XYZ,0.0608%
"Paychex, Inc.",PAYX,0.0607%
"Teradyne, Inc.",TER,0.0602%
State Street Corporation,STT,0.0602%
"Fiserv, Inc.",FISV,0.06%
Xylem Inc.,XYL,0.0599%
WEC Energy Group Inc,WEC,0.0595%
Otis Worldwide Corporation,OTIS,0.0592%
Ares Management Corporation,ARES,0.0589%
Garmin Ltd.,GRMN,0.0584%
PG&E Corporation,PCG,0.0578%
"Expedia Group, Inc.",EXPE,0.0562%
"Kenvue, Inc.",KVUE,0.0556%
Kimberly-Clark Corporation,KMB,0.0555%
Humana Inc.,HUM,0.0553%
"Fidelity National Information Services, Inc.",FIS,0.0552%
Arch Capital Group Ltd.,ACGL,0.0551%
Dollar General Corporation,DG,0.0551%
"Interactive Brokers Group, Inc. Class A",IBKR,0.055%
M&T Bank Corporation,MTB,0.0549%
Fifth Third Bancorp,FITB,0.0548%
"Old Dominion Freight Line, Inc.",ODFL,0.0544%
Ingersoll Rand Inc.,IR,0.0534%
Extra Space Storage Inc.,EXR,0.0532%
EQT Corporation,EQT,0.0531%
Willis Towers Watson Public Limited Company,WTW,0.0531%
Carnival Corporation,CCL,0.0529%
Archer-Daniels-Midland Company,ADM,0.0527%
"EMCOR Group, Inc.",EME,0.0526%
VICI Properties Inc,VICI,0.0522%
Occidental Petroleum Corporation,OXY,0.0517%
